name	version	compactsave	rarity	spawnable	minac	maxac	speed	reqstr	reqdex	block	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	normcode	ubercode	ultracode	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	stackable	minstack	maxstack	spawnstack	Transmogrify	TMogType	TMogMin	TMogMax	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	diablocloneweight
Cap	0	0	1	1	3	5	0	0	0	0	12	0	1	2	0	64	5000	cap	cap			cap	cap	xap	uap	0	2	2	1	6	1	flpcap	invcap	invcapu	invcapu							0					0	xxx			helm		item_cap	12	item_cap	0	0	5	0	0	0			0	3	0	0	0			0	1	1	1	1	1	5		1		1	1					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	2	8	0	skp	ghm	1	0	
Skull Cap	0	0	4	1	8	11	0	15	0	0	18	0	5	2	0	441	5000	skp	skp			skp	skp	xkp	ukp	0	2	2	1	6	1	flpskp	invskp									0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3	1	1	1	1	10		1		1	1					255					255					255					255					255					255					255	1	2	1	1	1					255					255					255					255					255					255					255	2	8	0	hlm	crn	1	0	
Helm	0	0	4	1	15	18	0	26	0	0	24	0	11	2	0	1558	5000	hlm	hlm			hlm	hlm	xlm	ulm	0	2	2	1	6	1	flphlm	invhlm	invhlmu	invhlmu							0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255		1		1	1					255	1	2	1	1	1					255					255					255					255					255					255				1	1				1	1					255					255					255					255					255	2	8	0	fhl	ghm	1	0	
Full Helm	0	0	4	1	23	26	0	41	0	0	30	0	15	2	0	3095	5000	fhl	fhl			fhl	fhl	xhl	uhl	0	2	2	1	6	1	flpfhl	invfhl	invfhlu	invfhlu							0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255	1	1		1	1					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					255					255					255					255	0	8	0	ghm	xxx	1	0	
Great Helm	0	0	4	1	30	35	0	63	0	0	40	0	23	2	0	6177	5000	ghm	ghm			ghm	ghm	xhm	uhm	0	2	2	1	6	1	flpghm	invghm									0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255	2	2	1	1	1					255					255					255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20					1		1	1	1	20					255					255	7	8	0	crn	xxx	1	0	
Crown	0	0	4	1	25	45	0	55	0	0	50	0	29	2	0	8345	5000	crn	crn			crn	crn	xrn	urn	0	2	2	1	6	1	flpcrn	invcrn									0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255	1	1	1	1	20				1	1		1	1	1	20					255					255	2	8	0	xxx	xxx	1	0	
Mask	0	0	4	1	9	27	0	23	0	0	20	0	19	2	0	2857	5000	msk	msk			msk	msk	xsk	usk	0	2	2	1	6	1	flpmsk	invmsk									0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255		1		1	1					255					255					255					255				1	1					255					255					255	1	2	0	xxx	xxx	1	0	
Quilted Armor	0	0	1	1	8	11	0	12	0	0	20	0	1	2	0	140	5000	qui	qui			qlt	qui	xui	uui	1	2	3	1	6	1	flpqlt	invqlt			0	0	0	0	1	1	0					0	xxx			tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0			0	2	0	0	0			0	1	1	1	1	1	5		1		1	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	7	8	0	lea	gth	1	0	
Leather Armor	0	0	2	1	14	17	0	15	0	0	24	0	3	2	0	481	5000	lea	lea			lea	lea	xea	uea	1	2	3	1	6	1	flplea	invlea			0	0	1	0	1	1	0					0	xxx			tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0			0	2	0	0	0			0	1	1	1	1	1	10		1		1	1					255					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	7	8	0	hla	ful	1	0	
Hard Leather Armor	0	0	3	1	21	24	0	20	0	0	28	0	5	2	0	1060	5000	hla	hla			hla	hla	xla	ula	1	2	3	1	6	1	flphla	invhla			1	1	1	0	1	1	0					0	xxx			tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0			0	2	0	0	0			0	1	1	1	1	1	15		1		1	1					255					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	7	8	0	stu	aar	1	0	
